SalesOrderID,OrderDate,CustomerID,SalesPersonID,TerritoryID,SubTotal,TotalDue,,,,,,
43691,31/05/2011,29570,277,4,874.794,985.018,,,,,,
43692,31/05/2011,29992,281,4,38510.8973,43362.4196,,,,,,
43693,31/05/2011,29491,275,5,20541.4072,23126.45,,,,,,
43694,31/05/2011,29549,279,5,20645.634,23242.1865,,,,,,
43695,31/05/2011,29958,279,5,39373.781,44344.8265,,,,,,
43696,31/05/2011,29849,279,5,419.4589,472.3108,,,,,,
43697,31/05/2011,21768,NULL,6,3578.27,3953.9884,,,,,,
43698,31/05/2011,28389,NULL,7,3399.99,3756.989,,,,,,
43699,31/05/2011,25863,NULL,1,3399.99,3756.989,,,,,,
43700,31/05/2011,14501,NULL,4,699.0982,772.5036,,,,,,
43701,31/05/2011,11003,NULL,9,3399.99,3756.989,,,,,,
43702,01/06/2011,27645,NULL,4,3578.27,3953.9884,,,,,,
43703,01/06/2011,16624,NULL,9,3578.27,3953.9884,,,,,,
43704,01/06/2011,11005,NULL,9,3374.99,3729.364,,,,,,
43705,01/06/2011,11011,NULL,9,3399.99,3756.989,,,,,,
43706,02/06/2011,27621,NULL,4,3578.27,3953.9884,,,,,,
43707,02/06/2011,27616,NULL,4,3578.27,3953.9884,,,,,,
43708,02/06/2011,20042,NULL,10,699.0982,772.5036,,,,,,
43709,02/06/2011,16351,NULL,9,3578.27,3953.9884,,,,,,
43710,02/06/2011,16517,NULL,9,3578.27,3953.9884,,,,,,
43711,03/06/2011,27606,NULL,1,3578.27,3953.9884,,,,,,
43712,03/06/2011,13513,NULL,8,3578.27,3953.9884,,,,,,
43713,04/06/2011,27601,NULL,4,3578.27,3953.9884,,,,,,
43714,04/06/2011,13591,NULL,10,3578.27,3953.9884,,,,,,
43715,04/06/2011,16483,NULL,9,3578.27,3953.9884,,,,,,
43716,04/06/2011,16529,NULL,9,3578.27,3953.9884,,,,,,
43717,04/06/2011,25249,NULL,9,699.0982,772.5036,,,,,,
43718,05/06/2011,27668,NULL,1,3578.27,3953.9884,,,,,,
43719,05/06/2011,27612,NULL,4,3578.27,3953.9884,,,,,,
43720,05/06/2011,13264,NULL,8,3578.27,3953.9884,,,,,,
43721,05/06/2011,13590,NULL,10,3578.27,3953.9884,,,,,,
43722,06/06/2011,13581,NULL,10,3578.27,3953.9884,,,,,,
43723,06/06/2011,14520,NULL,1,699.0982,772.5036,,,,,,
43724,06/06/2011,16520,NULL,9,3578.27,3953.9884,,,,,,
43725,07/06/2011,13258,NULL,8,3578.27,3953.9884,,,,,,
43726,07/06/2011,14560,NULL,4,699.0982,772.5036,,,,,,
43727,07/06/2011,16607,NULL,9,3578.27,3953.9884,,,,,,
43728,08/06/2011,27666,NULL,4,3578.27,3953.9884,,,,,,
43729,08/06/2011,11238,NULL,10,3399.99,3756.989,,,,,,
43730,08/06/2011,25861,NULL,4,3399.99,3756.989,,,,,,
43731,08/06/2011,16629,NULL,9,3578.27,3953.9884,,,,,,
43732,08/06/2011,11025,NULL,9,3374.99,3729.364,,,,,,
43733,08/06/2011,27577,NULL,1,3578.27,3953.9884,,,,,,
43734,09/06/2011,27604,NULL,1,3578.27,3953.9884,,,,,,
43735,09/06/2011,16522,NULL,9,3578.27,3953.9884,,,,,,
43736,09/06/2011,11002,NULL,9,3399.99,3756.989,,,,,,
43737,10/06/2011,13261,NULL,8,3578.27,3953.9884,,,,,,
43738,10/06/2011,11606,NULL,7,3578.27,3953.9884,,,,,,
43739,10/06/2011,13563,NULL,10,3578.27,3953.9884,,,,,,
43740,10/06/2011,16527,NULL,9,3578.27,3953.9884,,,,,,
43741,11/06/2011,27671,NULL,1,3578.27,3953.9884,,,,,,
43742,11/06/2011,13576,NULL,10,3578.27,3953.9884,,,,,,
43743,11/06/2011,11007,NULL,9,3399.99,3756.989,,,,,,
43744,11/06/2011,16631,NULL,9,3578.27,3953.9884,,,,,,
43745,12/06/2011,16514,NULL,9,3578.27,3953.9884,,,,,,
43746,12/06/2011,16616,NULL,9,3578.27,3953.9884,,,,,,
43747,13/06/2011,27623,NULL,4,3578.27,3953.9884,,,,,,
43748,13/06/2011,27625,NULL,1,3578.27,3953.9884,,,,,,
43749,13/06/2011,27636,NULL,1,3578.27,3953.9884,,,,,,
43750,13/06/2011,11591,NULL,7,3578.27,3953.9884,,,,,,
43751,13/06/2011,11592,NULL,7,3578.27,3953.9884,,,,,,
43752,13/06/2011,13265,NULL,8,3578.27,3953.9884,,,,,,
43753,13/06/2011,16482,NULL,9,3578.27,3953.9884,,,,,,
43754,14/06/2011,27617,NULL,1,3578.27,3953.9884,,,,,,
43755,14/06/2011,27670,NULL,4,3578.27,3953.9884,,,,,,
43756,14/06/2011,19941,NULL,10,699.0982,772.5036,,,,,,
43757,14/06/2011,11017,NULL,9,3374.99,3729.364,,,,,,
43758,15/06/2011,27646,NULL,4,3578.27,3953.9884,,,,,,
43759,15/06/2011,13257,NULL,8,3578.27,3953.9884,,,,,,
43760,15/06/2011,16352,NULL,9,3578.27,3953.9884,,,,,,
43761,15/06/2011,16493,NULL,9,3578.27,3953.9884,,,,,,
43762,16/06/2011,27578,NULL,4,3578.27,3953.9884,,,,,,
43763,16/06/2011,16525,NULL,9,3578.27,3953.9884,,,,,,
43764,16/06/2011,16612,NULL,9,3578.27,3953.9884,,,,,,
43765,16/06/2011,11010,NULL,9,3399.99,3756.989,,,,,,
43766,17/06/2011,16518,NULL,9,3578.27,3953.9884,,,,,,
43767,17/06/2011,11001,NULL,9,3374.99,3729.364,,,,,,
43768,18/06/2011,27649,NULL,1,3578.27,3953.9884,,,,,,
43769,18/06/2011,21659,NULL,6,3578.27,3953.9884,,,,,,
43770,18/06/2011,27614,NULL,1,3578.27,3953.9884,,,,,,
43771,18/06/2011,14559,NULL,4,699.0982,772.5036,,,,,,
43772,18/06/2011,16524,NULL,9,3578.27,3953.9884,,,,,,
43773,18/06/2011,16526,NULL,9,3578.27,3953.9884,,,,,,
43774,18/06/2011,16348,NULL,9,3578.27,3953.9884,,,,,,
43775,18/06/2011,11027,NULL,9,3399.99,3756.989,,,,,,
43776,19/06/2011,13260,NULL,8,3578.27,3953.9884,,,,,,
43777,19/06/2011,16515,NULL,9,3578.27,3953.9884,,,,,,
43778,19/06/2011,11018,NULL,9,3399.99,3756.989,,,,,,
43779,19/06/2011,25252,NULL,9,699.0982,772.5036,,,,,,
43780,20/06/2011,11599,NULL,7,3578.27,3953.9884,,,,,,
43781,20/06/2011,16495,NULL,9,3578.27,3953.9884,,,,,,
43782,20/06/2011,16516,NULL,9,3578.27,3953.9884,,,,,,
43783,20/06/2011,16620,NULL,9,3578.27,3953.9884,,,,,,
43784,21/06/2011,27667,NULL,4,3578.27,3953.9884,,,,,,
43785,21/06/2011,11601,NULL,7,3578.27,3953.9884,,,,,,
43786,21/06/2011,11607,NULL,7,3578.27,3953.9884,,,,,,
43787,21/06/2011,29385,NULL,8,3399.99,3756.989,,,,,,
43788,21/06/2011,11239,NULL,10,3374.99,3729.364,,,,,,
43789,21/06/2011,25865,NULL,1,3374.99,3729.364,,,,,,
43790,21/06/2011,25857,NULL,1,3399.99,3756.989,,,,,,
43791,21/06/2011,16484,NULL,9,3578.27,3953.9884,,,,,,
43792,21/06/2011,16623,NULL,9,3578.27,3953.9884,,,,,,
43793,21/06/2011,11000,NULL,9,3399.99,3756.989,,,,,,
43794,21/06/2011,11029,NULL,9,3399.99,3756.989,,,,,,
43795,22/06/2011,27615,NULL,4,3578.27,3953.9884,,,,,,
43796,22/06/2011,17956,NULL,7,699.0982,772.5036,,,,,,
43797,22/06/2011,16345,NULL,9,3578.27,3953.9884,,,,,,
43798,22/06/2011,16521,NULL,9,3578.27,3953.9884,,,,,,
43799,22/06/2011,16636,NULL,9,3578.27,3953.9884,,,,,,
43800,23/06/2011,21710,NULL,6,3578.27,3953.9884,,,,,,
43801,23/06/2011,13583,NULL,10,3578.27,3953.9884,,,,,,
43802,23/06/2011,11593,NULL,7,3578.27,3953.9884,,,,,,
43803,24/06/2011,21741,NULL,6,3578.27,3953.9884,,,,,,
43804,24/06/2011,13585,NULL,10,3578.27,3953.9884,,,,,,
43805,24/06/2011,14510,NULL,1,699.0982,772.5036,,,,,,
43806,24/06/2011,16523,NULL,9,3578.27,3953.9884,,,,,,
43807,25/06/2011,11611,NULL,7,3578.27,3953.9884,,,,,,
43808,25/06/2011,13259,NULL,8,3578.27,3953.9884,,,,,,
43809,25/06/2011,16350,NULL,9,3578.27,3953.9884,,,,,,
43810,25/06/2011,11004,NULL,9,3399.99,3756.989,,,,,,
43811,25/06/2011,11026,NULL,9,3399.99,3756.989,,,,,,
43812,26/06/2011,27662,NULL,4,3578.27,3953.9884,,,,,,
43813,26/06/2011,28390,NULL,7,3374.99,3729.364,,,,,,
43814,26/06/2011,25866,NULL,1,3374.99,3729.364,,,,,,
43815,26/06/2011,16494,NULL,9,3578.27,3953.9884,,,,,,
43816,26/06/2011,16496,NULL,9,3578.27,3953.9884,,,,,,
43817,26/06/2011,16519,NULL,9,3578.27,3953.9884,,,,,,
43818,26/06/2011,16528,NULL,9,3578.27,3953.9884,,,,,,
43819,26/06/2011,11006,NULL,9,3399.99,3756.989,,,,,,
43820,27/06/2011,27651,NULL,4,3578.27,3953.9884,,,,,,
43821,27/06/2011,27663,NULL,4,3578.27,3953.9884,,,,,,
43822,27/06/2011,27669,NULL,4,3578.27,3953.9884,,,,,,
43823,27/06/2011,19942,NULL,10,699.0982,772.5036,,,,,,
43824,27/06/2011,14558,NULL,1,699.0982,772.5036,,,,,,
43825,27/06/2011,16349,NULL,9,3578.27,3953.9884,,,,,,
43826,27/06/2011,11008,NULL,9,3374.99,3729.364,,,,,,
43827,27/06/2011,25250,NULL,9,699.0982,772.5036,,,,,,
43828,28/06/2011,27605,NULL,1,3578.27,3953.9884,,,,,,
43829,28/06/2011,27611,NULL,4,3578.27,3953.9884,,,,,,
43830,28/06/2011,16347,NULL,9,3578.27,3953.9884,,,,,,
43831,28/06/2011,11028,NULL,9,3374.99,3729.364,,,,,,
43832,28/06/2011,13584,NULL,10,3578.27,3953.9884,,,,,,
43833,29/06/2011,21727,NULL,6,3578.27,3953.9884,,,,,,
43834,29/06/2011,28393,NULL,7,3374.99,3729.364,,,,,,
43835,29/06/2011,19802,NULL,6,3374.99,3729.364,,,,,,
43836,29/06/2011,26620,NULL,6,699.0982,772.5036,,,,,,
43837,29/06/2011,11009,NULL,9,3374.99,3729.364,,,,,,
43838,30/06/2011,27641,NULL,4,3578.27,3953.9884,,,,,,
43839,30/06/2011,27673,NULL,1,3578.27,3953.9884,,,,,,
43840,30/06/2011,17957,NULL,7,699.0982,772.5036,,,,,,
43841,30/06/2011,13406,NULL,8,3578.27,3953.9884,,,,,,
43842,30/06/2011,16630,NULL,9,3578.27,3953.9884,,,,,,
43843,01/07/2011,29955,275,3,32940.1556,37106.2915,,,,,,
43844,01/07/2011,29620,282,6,20249.94,22801.4324,,,,,,
43845,01/07/2011,29888,279,5,8580.0739,9661.1367,,,,,,
43846,01/07/2011,29548,278,6,919.5201,1038.5162,,,,,,
43847,01/07/2011,29539,278,6,908.8209,1022.9155,,,,,,
43848,01/07/2011,29717,283,1,18269.946,20571.9592,,,,,,
43849,01/07/2011,29818,274,1,20544.7015,23130.2957,,,,,,
43850,01/07/2011,29892,282,6,10183.7952,11473.9009,,,,,,
43851,01/07/2011,29509,275,2,6783.7679,7638.8584,,,,,,
43852,01/07/2011,29855,282,6,2024.994,2280.1432,,,,,,
43853,01/07/2011,29813,282,6,26354.922,29675.6422,,,,,,
43854,01/07/2011,29988,282,6,1749.588,1970.036,,,,,,
43855,01/07/2011,29946,278,6,10993.3516,12382.9248,,,,,,
43856,01/07/2011,29680,282,6,2036.394,2292.84,,,,,,
43857,01/07/2011,30074,282,6,7186.5371,8090.9178,,,,,,
43858,01/07/2011,29961,275,2,13694.3494,15423.0001,,,,,,
43859,01/07/2011,29865,276,4,3911.5991,4404.1073,,,,,,
43860,01/07/2011,29773,280,1,10993.3942,12381.0798,,,,,,
43861,01/07/2011,29749,279,5,23401.1062,26346.8927,,,,,,
43862,01/07/2011,29945,279,5,31000.7804,34922.3602,,,,,,
43863,01/07/2011,29764,277,4,1718.8983,1935.4159,,,,,,
43864,01/07/2011,30056,276,4,38474.3572,43335.7219,,,,,,
43865,01/07/2011,30117,277,4,13196.0548,14860.6446,,,,,,
43866,01/07/2011,29571,280,1,4076.388,4589.8732,,,,,,
43867,01/07/2011,29582,280,1,32673.0446,36806.4892,,,,,,
43868,01/07/2011,30042,282,6,2146.962,2417.4793,,,,,,
43869,01/07/2011,30107,276,1,49193.9864,55408.1581,,,,,,
43870,01/07/2011,29675,275,2,4316.9864,4859.8668,,,,,,
43871,01/07/2011,30076,281,3,9398.8972,10580.0803,,,,,,
43872,01/07/2011,30100,276,4,11584.459,13042.6279,,,,,,
43873,01/07/2011,29703,276,4,41250.4391,46465.9531,,,,,,
43874,01/07/2011,29569,277,3,419.4589,472.3108,,,,,,
43875,01/07/2011,29624,279,5,121761.9396,137343.2877,,,,,,
43876,01/07/2011,30091,275,2,7135.2649,8036.8834,,,,,,
43877,01/07/2011,29925,280,1,20628.5745,23223.5397,,,,,,
43878,01/07/2011,29664,275,2,4079.988,4594.0664,,,,,,
43879,01/07/2011,29510,282,6,21718.7639,24459.114,,,,,,
43880,01/07/2011,29789,278,6,15479.55,17433.1351,,,,,,
43881,01/07/2011,30111,277,3,38816.8056,43706.8175,,,,,,
43882,01/07/2011,29558,282,6,2024.994,2280.1432,,,,,,
43883,01/07/2011,29724,275,2,18320.6894,20634.6499,,,,,,
43884,01/07/2011,29861,277,3,115696.3313,130416.4829,,,,,,
43885,01/07/2011,29757,276,4,68.4,76.1805,,,,,,
43886,01/07/2011,29698,282,6,17358.0101,19543.315,,,,,,
43887,01/07/2011,29493,279,5,419.4589,472.3108,,,,,,
43888,01/07/2011,29794,282,6,14432.8174,16255.1776,,,,,,
43889,01/07/2011,29830,278,6,2082.6748,2344.3852,,,,,,
43890,01/07/2011,29515,278,6,75191.9599,84686.9878,,,,,,
43891,01/07/2011,29807,282,6,32569.104,36672.3922,,,,,,
43892,01/07/2011,29716,281,4,16544.5461,18627.7044,,,,,,
43893,01/07/2011,29905,282,6,419.4589,472.3108,,,,,,
43894,01/07/2011,30004,280,1,32492.604,36585.904,,,,,,
43895,01/07/2011,29742,280,1,32459.9278,36556.8816,,,,,,
43896,01/07/2011,29866,277,4,4345.8268,4891.9878,,,,,,
43897,01/07/2011,29522,276,4,51235.0091,57683.2312,,,,,,
43898,01/07/2011,29705,278,6,50948.9161,57391.4284,,,,,,
43899,01/07/2011,29906,277,3,11942.5965,13449.1563,,,,,,
43900,01/07/2011,29880,279,5,34628.298,38990.6256,,,,,,
43901,01/07/2011,29901,276,4,22717.5954,25575,,,,,,
43902,01/07/2011,29507,279,5,52803.4477,59486.4175,,,,,,
43903,01/07/2011,29968,279,5,20.1865,22.3061,,,,,,
43904,01/07/2011,30095,277,4,11361.2706,12796.5962,,,,,,
43905,01/07/2011,29846,279,5,9880.2666,11128.3803,,,,,,
43906,01/07/2011,29523,277,4,32971.323,37121.6273,,,,,,
43907,01/07/2011,29791,275,2,14660.3024,16508.0083,,,,,,
43908,01/07/2011,29731,275,2,2561.5408,2884.8375,,,,,,
43909,01/07/2011,29787,283,1,25493.3215,28723.5473,,,,,,
43910,01/07/2011,29963,279,5,19411.9336,21862.8919,,,,,,
43911,01/07/2011,29617,280,1,19734.8665,22224.2255,,,,,,
43912,01/07/2011,29853,276,4,13078.2699,14730.6466,,,,,,
43913,01/07/2011,29774,277,4,36724.0974,41347.1129,,,,,,
43914,01/07/2011,29521,281,1,8152.776,9179.7465,,,,,,
43915,01/07/2011,29688,275,3,4049.988,4560.2864,,,,,,
43916,01/07/2011,29511,276,3,39450.7884,44423.5959,,,,,,
43917,01/07/2011,29885,283,1,21356.1593,24047.8587,,,,,,
43918,01/07/2011,22041,NULL,6,3578.27,3953.9884,,,,,,
43919,01/07/2011,12124,NULL,7,3578.27,3953.9884,,,,,,
43920,01/07/2011,28066,NULL,4,3578.27,3953.9884,,,,,,
43921,01/07/2011,16743,NULL,9,3578.27,3953.9884,,,,,,
43922,01/07/2011,13546,NULL,8,3578.27,3953.9884,,,,,,
43923,02/07/2011,28018,NULL,4,3578.27,3953.9884,,,,,,
43924,02/07/2011,12132,NULL,7,3578.27,3953.9884,,,,,,
43925,02/07/2011,16661,NULL,9,3578.27,3953.9884,,,,,,
43926,03/07/2011,11055,NULL,9,3374.99,3729.364,,,,,,
43927,03/07/2011,16662,NULL,9,3578.27,3953.9884,,,,,,
43928,03/07/2011,16740,NULL,9,3578.27,3953.9884,,,,,,
43929,03/07/2011,25270,NULL,9,699.0982,772.5036,,,,,,
43930,04/07/2011,28038,NULL,4,3578.27,3953.9884,,,,,,
43931,04/07/2011,13548,NULL,8,3578.27,3953.9884,,,,,,
43932,04/07/2011,16741,NULL,9,3578.27,3953.9884,,,,,,
43933,04/07/2011,11031,NULL,9,3399.99,3756.989,,,,,,
43934,04/07/2011,11034,NULL,9,3399.99,3756.989,,,,,,
43935,05/07/2011,20048,NULL,10,699.0982,772.5036,,,,,,
43936,05/07/2011,28065,NULL,4,3578.27,3953.9884,,,,,,
43937,05/07/2011,17047,NULL,9,3578.27,3953.9884,,,,,,
43938,05/07/2011,16686,NULL,9,3578.27,3953.9884,,,,,,
43939,05/07/2011,16659,NULL,9,3578.27,3953.9884,,,,,,
43940,05/07/2011,25294,NULL,9,699.0982,772.5036,,,,,,
43941,06/07/2011,13600,NULL,10,3578.27,3953.9884,,,,,,
43942,06/07/2011,17051,NULL,9,3578.27,3953.9884,,,,,,
43943,06/07/2011,14565,NULL,4,699.0982,772.5036,,,,,,
43944,06/07/2011,11054,NULL,9,3399.99,3756.989,,,,,,
43945,06/07/2011,16675,NULL,9,3578.27,3953.9884,,,,,,
43946,06/07/2011,16687,NULL,9,3578.27,3953.9884,,,,,,
43947,06/07/2011,16712,NULL,9,3578.27,3953.9884,,,,,,
43948,06/07/2011,11047,NULL,9,3399.99,3756.989,,,,,,
43949,07/07/2011,27726,NULL,4,3578.27,3953.9884,,,,,,
43950,07/07/2011,28014,NULL,4,3578.27,3953.9884,,,,,,
43951,07/07/2011,16696,NULL,9,3578.27,3953.9884,,,,,,
43952,07/07/2011,16639,NULL,9,3578.27,3953.9884,,,,,,
43953,08/07/2011,20049,NULL,10,699.0982,772.5036,,,,,,
43954,08/07/2011,13602,NULL,10,3578.27,3953.9884,,,,,,
43955,08/07/2011,13661,NULL,10,3578.27,3953.9884,,,,,,
43956,08/07/2011,11030,NULL,9,3399.99,3756.989,,,,,,
43957,09/07/2011,28068,NULL,4,3578.27,3953.9884,,,,,,
43958,09/07/2011,16658,NULL,9,3578.27,3953.9884,,,,,,
43959,09/07/2011,11035,NULL,9,3374.99,3729.364,,,,,,
43960,09/07/2011,11046,NULL,9,3374.99,3729.364,,,,,,
43961,10/07/2011,28031,NULL,4,3578.27,3953.9884,,,,,,
43962,10/07/2011,28076,NULL,4,3578.27,3953.9884,,,,,,
43963,10/07/2011,16685,NULL,9,3578.27,3953.9884,,,,,,
43964,10/07/2011,16745,NULL,9,3578.27,3953.9884,,,,,,
43965,10/07/2011,11038,NULL,9,3374.99,3729.364,,,,,,
43966,10/07/2011,11039,NULL,9,3399.99,3756.989,,,,,,
43967,11/07/2011,28040,NULL,1,3578.27,3953.9884,,,,,,
43968,11/07/2011,28067,NULL,4,3578.27,3953.9884,,,,,,
43969,11/07/2011,28071,NULL,4,3578.27,3953.9884,,,,,,
43970,11/07/2011,16684,NULL,9,3578.27,3953.9884,,,,,,
43971,11/07/2011,16657,NULL,9,3578.27,3953.9884,,,,,,
43972,12/07/2011,21939,NULL,6,3578.27,3953.9884,,,,,,
43973,12/07/2011,28039,NULL,4,3578.27,3953.9884,,,,,,
43974,12/07/2011,13687,NULL,10,3578.27,3953.9884,,,,,,
43975,12/07/2011,13540,NULL,8,3578.27,3953.9884,,,,,,
43976,12/07/2011,28063,NULL,4,3578.27,3953.9884,,,,,,
43977,12/07/2011,16703,NULL,9,3578.27,3953.9884,,,,,,
43978,13/07/2011,28030,NULL,1,3578.27,3953.9884,,,,,,
43979,13/07/2011,14576,NULL,1,699.0982,772.5036,,,,,,
43980,13/07/2011,11048,NULL,9,3374.99,3729.364,,,,,,
43981,13/07/2011,16664,NULL,9,3578.27,3953.9884,,,,,,
43982,13/07/2011,25271,NULL,9,699.0982,772.5036,,,,,,
43983,14/07/2011,28017,NULL,1,3578.27,3953.9884,,,,,,
43984,14/07/2011,13545,NULL,8,3578.27,3953.9884,,,,,,
43985,14/07/2011,13515,NULL,8,3578.27,3953.9884,,,,,,
43986,14/07/2011,28070,NULL,4,3578.27,3953.9884,,,,,,
43987,15/07/2011,28042,NULL,4,3578.27,3953.9884,,,,,,
43988,15/07/2011,11244,NULL,10,3399.99,3756.989,,,,,,
43989,15/07/2011,28083,NULL,4,3578.27,3953.9884,,,,,,
43990,15/07/2011,25872,NULL,1,3399.99,3756.989,,,,,,
43991,15/07/2011,16660,NULL,9,3578.27,3953.9884,,,,,,
43992,15/07/2011,16638,NULL,9,3578.27,3953.9884,,,,,,
43993,17/07/2011,16929,NULL,9,3578.27,3953.9884,,,,,,
43994,18/07/2011,27681,NULL,4,3578.27,3953.9884,,,,,,
43995,18/07/2011,21813,NULL,6,3578.27,3953.9884,,,,,,
43996,18/07/2011,27920,NULL,4,3578.27,3953.9884,,,,,,
43997,18/07/2011,28022,NULL,4,3578.27,3953.9884,,,,,,
43998,18/07/2011,11033,NULL,9,3374.99,3729.364,,,,,,
43999,18/07/2011,28047,NULL,1,3578.27,3953.9884,,,,,,
44000,19/07/2011,27918,NULL,4,3578.27,3953.9884,,,,,,
44001,19/07/2011,28044,NULL,4,3578.27,3953.9884,,,,,,
44002,19/07/2011,14572,NULL,4,699.0982,772.5036,,,,,,
44003,19/07/2011,19325,NULL,8,699.0982,772.5036,,,,,,
44004,19/07/2011,28061,NULL,4,3578.27,3953.9884,,,,,,
44005,19/07/2011,26629,NULL,6,699.0982,772.5036,,,,,,
44006,19/07/2011,16744,NULL,9,3578.27,3953.9884,,,,,,
44007,19/07/2011,25555,NULL,9,699.0982,772.5036,,,,,,
44008,20/07/2011,27678,NULL,1,3578.27,3953.9884,,,,,,
44009,20/07/2011,27759,NULL,1,3578.27,3953.9884,,,,,,
44010,20/07/2011,13680,NULL,10,3578.27,3953.9884,,,,,,
44011,20/07/2011,13514,NULL,8,3578.27,3953.9884,,,,,,
44012,20/07/2011,11052,NULL,9,3374.99,3729.364,,,,,,
44013,20/07/2011,16928,NULL,9,3578.27,3953.9884,,,,,,
44014,21/07/2011,27917,NULL,4,3578.27,3953.9884,,,,,,
44015,21/07/2011,13693,NULL,10,3578.27,3953.9884,,,,,,
44016,21/07/2011,11247,NULL,10,3374.99,3729.364,,,,,,
44017,21/07/2011,28078,NULL,1,3578.27,3953.9884,,,,,,
44018,21/07/2011,25876,NULL,1,3374.99,3729.364,,,,,,
44019,21/07/2011,16701,NULL,9,3578.27,3953.9884,,,,,,
44020,21/07/2011,16931,NULL,9,3578.27,3953.9884,,,,,,
44021,21/07/2011,11032,NULL,9,3374.99,3729.364,,,,,,
44022,22/07/2011,22008,NULL,6,3578.27,3953.9884,,,,,,
44023,22/07/2011,19830,NULL,6,3374.99,3729.364,,,,,,
44024,22/07/2011,16663,NULL,9,3578.27,3953.9884,,,,,,
44025,22/07/2011,16708,NULL,9,3578.27,3953.9884,,,,,,
44026,22/07/2011,17045,NULL,9,3578.27,3953.9884,,,,,,
44027,23/07/2011,21921,NULL,6,3578.27,3953.9884,,,,,,
44028,23/07/2011,17048,NULL,9,3578.27,3953.9884,,,,,,
44029,23/07/2011,11050,NULL,9,3374.99,3729.364,,,,,,
44030,24/07/2011,12131,NULL,7,3578.27,3953.9884,,,,,,
44031,24/07/2011,13689,NULL,10,3578.27,3953.9884,,,,,,
44032,24/07/2011,11243,NULL,10,3399.99,3756.989,,,,,,
44033,24/07/2011,16693,NULL,9,3578.27,3953.9884,,,,,,
44034,24/07/2011,16702,NULL,9,3578.27,3953.9884,,,,,,
44035,24/07/2011,16707,NULL,9,3578.27,3953.9884,,,,,,
44036,24/07/2011,17046,NULL,9,3578.27,3953.9884,,,,,,
44037,24/07/2011,25272,NULL,9,699.0982,772.5036,,,,,,
44038,24/07/2011,25868,NULL,4,3399.99,3756.989,,,,,,
44039,25/07/2011,17971,NULL,7,699.0982,772.5036,,,,,,
44040,25/07/2011,11057,NULL,9,3374.99,3729.364,,,,,,
44041,25/07/2011,16742,NULL,9,3578.27,3953.9884,,,,,,
44042,26/07/2011,13678,NULL,10,3578.27,3953.9884,,,,,,
44043,26/07/2011,13679,NULL,10,3578.27,3953.9884,,,,,,
44044,26/07/2011,13690,NULL,10,3578.27,3953.9884,,,,,,
44045,26/07/2011,28394,NULL,7,3399.99,3756.989,,,,,,
44046,26/07/2011,28064,NULL,1,3578.27,3953.9884,,,,,,
44047,26/07/2011,25878,NULL,4,3399.99,3756.989,,,,,,
44048,26/07/2011,16713,NULL,9,3578.27,3953.9884,,,,,,
44049,27/07/2011,13538,NULL,8,3578.27,3953.9884,,,,,,
44050,27/07/2011,17050,NULL,9,3578.27,3953.9884,,,,,,
44051,28/07/2011,13691,NULL,10,3578.27,3953.9884,,,,,,
